#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
258705:4479,10/10/15 13:01:34,100,100,7.822,7.605
258706:4479,10/10/15 13:44:18,733,733,53.510,52.123
258712:4479,10/10/15 18:36:26,524,524,35.417,34.496
258713:4479,10/10/15 22:03:19,161,161,10.407,10.164
258714:4479,10/10/15 23:06:33,67,67,4.270,4.169
258741:4485,10/11/15 15:12:30,51,51,4.819,4.447
258742:4485,10/11/15 15:37:24,692,692,61.255,59.300
258745:4485,10/11/15 20:12:22,260,260,21.600,20.967
258749:4485,10/11/15 22:08:51,589,589,45.841,44.752
258750:4485,10/12/15 02:08:14,197,197,14.667,14.331
259626:4518,10/20/15 04:22:04,347,347,10.825,10.630
259637:4519,10/20/15 11:58:53,210,210,14.592,14.236
259681:4522,10/21/15 02:10:07,35,35,3.263,1.867
259683:4522,10/21/15 02:51:43,87,87,7.479,7.238
259685:4522,10/21/15 03:31:12,622,622,53.638,52.047
259686:4522,10/21/15 07:40:55,334,334,26.208,25.465
259721:4525,10/21/15 21:49:33,334,334,11.561,11.233
259809:4528,10/23/15 01:19:55,170,170,13.962,13.416
259810:4528,10/23/15 02:27:57,114,114,9.458,9.214
259811:4528,10/23/15 03:14:40,89,89,7.250,6.959
259813:4528,10/23/15 03:55:28,10,10,0.809,0.697
259817:4528,10/23/15 04:12:46,5,5,0.402,0.339
259818:4528,10/23/15 04:16:25,160,160,12.702,12.345
259820:4528,10/23/15 05:28:06,158,158,12.202,11.764
259821:4528,10/23/15 06:36:07,210,210,14.280,13.847
259822:4528,10/23/15 08:06:27,462,462,32.078,31.298
259861:4530,10/23/15 22:04:22,73,73,6.306,6.086
259862:4530,10/23/15 23:06:58,530,530,43.949,42.639
259884:4532,10/24/15 16:31:58,80,80,6.611,6.228
259890:4532,10/24/15 17:20:01,107,107,9.306,8.940
259891:4532,10/24/15 18:06:49,108,108,9.214,8.848
260373:4555,10/30/15 10:18:37,360,360,10.297,10.082
260424:4557,10/30/15 18:40:06,666,666,65.289,63.075
260425:4557,10/30/15 23:06:36,252,252,23.065,22.347
260426:4557,10/31/15 01:02:23,499,499,42.844,41.727
260427:4557,10/31/15 04:25:46,198,198,15.655,15.191
260431:4557,10/31/15 06:31:22,447,447,34.171,33.251
260532:4560,11/01/15 04:26:38,742,742,62.903,61.132
260533:4560,11/01/15 09:24:23,14,14,1.127,1.060
260534:4560,11/01/15 09:34:18,375,375,29.275,28.417
260536:4560,11/01/15 12:11:50,177,177,13.490,13.138
260538:4560,11/01/15 13:29:58,284,284,20.907,20.326
260541:4560,11/01/15 15:25:55,24,24,1.730,1.664
260575:4562,11/01/15 21:37:32,24,24,2.326,1.682
260576:4562,11/01/15 21:49:30,148,148,16.638,15.469
260577:4562,11/02/15 00:53:22,76,76,8.183,7.859
260593:4565,11/02/15 08:42:24,337,337,35.310,33.318
260627:4569,11/02/15 19:06:16,1740,1740,171.385,164.682
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#41,108,31618,31618,2165.945,2093.640
