OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.015774574130773544" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.01056305505335331" 
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.0080285863950848579" 
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.0090348999947309494" 
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.012320911511778831" 
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.023185532540082932" 
1, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.036763664335012436" 
1, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.060587137937545776" 
1, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.038522142916917801" 
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.0078872870653867722" 
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.0052815275266766548" 
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.004014293197542429" 
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.0045174499973654747" 
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.0061604557558894157" 
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.011592766270041466" 
1, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.018381832167506218" 
1, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))-0.030293568968772888" 
1, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.077044285833835602" 
1, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.015774574130773544" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.01056305505335331" 
1, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.0080285863950848579" 
1, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.0090348999947309494" 
1, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.012320911511778831" 
1, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.023185532540082932" 
1, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.036763664335012436" 
1, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.060587137937545776" 
1, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.038522142916917801" 
1, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.0078872870653867722" 
1, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.0052815275266766548" 
1, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.004014293197542429" 
1, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.0045174499973654747" 
1, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.0061604557558894157" 
1, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.011592766270041466" 
1, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.018381832167506218" 
1, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.587159*((1.+(0.366746*x))/(1.+(0.216648*x))))+0.030293568968772888" 
2, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x)))" 
2, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x)))" 
2, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.063613951206207275" 
2, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.01812981441617012" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.013491866178810596" 
2, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.011322363279759884" 
2, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.012973448261618614" 
2, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.015860432758927345" 
2, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.033117122948169708" 
2, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.054989725351333618" 
2, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.10230936110019684" 
2, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.031806975603103638" 
2, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.0090649072080850601" 
2, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.0067459330894052982" 
2, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.0056611816398799419" 
2, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.0064867241308093071" 
2, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.0079302163794636726" 
2, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.016558561474084854" 
2, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.027494862675666809" 
2, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))-0.051154680550098419" 
2, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.063613951206207275" 
2, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.01812981441617012" 
