DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.982782+(5.50176e-05*x)" 
0, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.982782+(5.50176e-05*x)" 
0, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "0.982782+((5.50176e-05*x)-0.036087885499000549)" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.982782+((5.50176e-05*x)-0.011607471853494644)" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.982782+((5.50176e-05*x)-0.0099388621747493744)" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.982782+((5.50176e-05*x)-0.0077257086522877216)" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.982782+((5.50176e-05*x)-0.0064197154715657234)" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.982782+((5.50176e-05*x)-0.007775498554110527)" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.982782+((5.50176e-05*x)-0.017626380547881126)" 
0, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "0.982782+((5.50176e-05*x)-0.029661612585186958)" 
0, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "0.982782+((5.50176e-05*x)-0.051170557737350464)" 
0, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.982782+((5.50176e-05*x)-0.018043942749500275)" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.982782+((5.50176e-05*x)-0.0058037359267473221)" 
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.982782+((5.50176e-05*x)-0.0049694310873746872)" 
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.982782+((5.50176e-05*x)-0.0038628543261438608)" 
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.982782+((5.50176e-05*x)-0.0032098577357828617)" 
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.982782+((5.50176e-05*x)-0.0038877492770552635)" 
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.982782+((5.50176e-05*x)-0.0088131902739405632)" 
0, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.982782+((5.50176e-05*x)-0.014830806292593479)" 
0, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.982782+((5.50176e-05*x)-0.025585278868675232)" 
0, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.982782+(5.50176e-05*x))+0.036087885499000549" 
0, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.982782+(5.50176e-05*x))+0.011607471853494644" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.982782+(5.50176e-05*x))+0.0099388621747493744" 
0, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.982782+(5.50176e-05*x))+0.0077257086522877216" 
0, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.982782+(5.50176e-05*x))+0.0064197154715657234" 
0, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.982782+(5.50176e-05*x))+0.007775498554110527" 
0, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.982782+(5.50176e-05*x))+0.017626380547881126" 
0, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.982782+(5.50176e-05*x))+0.029661612585186958" 
0, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.982782+(5.50176e-05*x))+0.051170557737350464" 
0, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.982782+(5.50176e-05*x))+0.018043942749500275" 
0, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.982782+(5.50176e-05*x))+0.0058037359267473221" 
0, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.982782+(5.50176e-05*x))+0.0049694310873746872" 
0, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.982782+(5.50176e-05*x))+0.0038628543261438608" 
0, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.982782+(5.50176e-05*x))+0.0032098577357828617" 
0, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.982782+(5.50176e-05*x))+0.0038877492770552635" 
0, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.982782+(5.50176e-05*x))+0.0088131902739405632" 
0, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.982782+(5.50176e-05*x))+0.014830806292593479" 
0, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.982782+(5.50176e-05*x))+0.025585278868675232" 
1, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.660002*((1.+(0.494614*x))/(1.+(0.329806*x)))" 
1, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.660002*((1.+(0.494614*x))/(1.+(0.329806*x)))" 
