DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.038573365658521652" 
1, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.028250716626644135" 
1, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.030116038396954536" 
1, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.031388778239488602" 
1, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.050632264465093613" 
1, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.17193096876144409" 
1, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.19800464808940887" 
1, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.15408730506896973" 
1, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.25948658585548401" 
1, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.019286682829260826" 
1, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.014125358313322067" 
1, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.015058019198477268" 
1, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.015694389119744301" 
1, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.025316132232546806" 
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.085965484380722046" 
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.099002324044704437" 
1, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.077043652534484863" 
1, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))-0.129743292927742" 
1, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.038573365658521652" 
1, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.028250716626644135" 
1, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.030116038396954536" 
1, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.031388778239488602" 
1, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.050632264465093613" 
1, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.17193096876144409" 
1, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.19800464808940887" 
1, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.15408730506896973" 
1, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.25948658585548401" 
1, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.019286682829260826" 
1, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.937952*((1.+(0.00140207*x))/(1.+(0.00112628*x))))+0.014125358313322067" 
