CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.16147) : (1.1753)) : (x<50 ? 1.20337:1.23311)) : (x<80 ? (x<70 ? 1.25451:1.29117) : (x<100 ? 1.32824:1.38011))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.62193:1.80669) : (1.80344)) : (x<320 ? 1.86296:2.04232)) : (x<670 ? (x<500 ? 2.37875:2.77683) : (x<800 ? 2.96669:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.868851) : (0.884717)) : (x<50 ? 0.891437:0.896107)) : (x<80 ? (x<70 ? 0.895095:0.897568) : (x<100 ? 0.893379:0.891956))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.901679:0.904712) : (0.900295)) : (x<320 ? 0.900436:0.886233)) : (x<670 ? (x<500 ? 0.883886:0.870353) : (x<800 ? 0.923673:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.84473) : (0.84886)) : (x<50 ? 0.837531:0.842964)) : (x<80 ? (x<70 ? 0.834338:0.835473) : (x<100 ? 0.83792:0.818654))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.854018:0.860084) : (0.8375)) : (x<320 ? 0.826182:0.951472)) : (x<670 ? (x<500 ? 0.835:0.940966) : (x<800 ? 0.861017:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.812855) : (0.822563)) : (x<50 ? 0.842098:0.862844)) : (x<80 ? (x<70 ? 0.87769:0.903215) : (x<100 ? 0.929314:0.965283))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.13451:1.26308) : (1.25847)) : (x<320 ? 1.29665:1.41638)) : (x<670 ? (x<500 ? 1.63408:1.87206) : (x<800 ? 2.96669:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.960374) : (0.977894)) : (x<50 ? 0.98532:0.990483)) : (x<80 ? (x<70 ? 0.98937:0.992113) : (x<100 ? 0.987461:0.985913))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.996661:1.00011) : (0.995563)) : (x<320 ? 0.996413:0.982091)) : (x<670 ? (x<500 ? 0.982753:0.972598) : (x<800 ? 0.923673:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03269) : (1.0377)) : (x<50 ? 1.02389:1.03056)) : (x<80 ? (x<70 ? 1.02007:1.02153) : (x<100 ? 1.0244:1.00101))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.04425:1.05222) : (1.02663)) : (x<320 ? 1.01695:1.1785)) : (x<670 ? (x<500 ? 1.0412:1.20083) : (x<800 ? 0.861017:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.51009) : (1.52805)) : (x<50 ? 1.56464:1.60338)) : (x<80 ? (x<70 ? 1.63134:1.67913) : (x<100 ? 1.72716:1.79494))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 2.10936:2.3503) : (2.34841)) : (x<320 ? 2.42927:2.66825)) : (x<670 ? (x<500 ? 3.12342:3.6816) : (x<800 ? 2.96669:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.880801) : (0.896328)) : (x<50 ? 0.904647:0.907446)) : (x<80 ? (x<70 ? 0.903951:0.901121) : (x<100 ? 0.89469:0.887331))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.897004:0.895514) : (0.879234)) : (x<320 ? 0.869396:0.835378)) : (x<670 ? (x<500 ? 0.813797:0.817148) : (x<800 ? 0.826322:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.921198) : (0.934938)) : (x<50 ? 0.880175:0.886556)) : (x<80 ? (x<70 ? 0.886689:0.88474) : (x<100 ? 0.87657:0.838511))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.910609:0.854085) : (0.882721)) : (x<320 ? 0.886456:1.07689)) : (x<670 ? (x<500 ? 0.999687:0.89435) : (x<800 ? 1.19218:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.38281) : (1.49163)) : (x<50 ? 1.59065:1.71967)) : (x<80 ? (x<70 ? 1.77119:1.75827) : (x<100 ? 1.83081:1.86279))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 2.29704:2.87128) : (2.44033)) : (x<320 ? 2.97862:3.02299)) : (x<670 ? (x<500 ? 2.22756:3.37347) : (x<800 ? 6.71152:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.836713) : (0.851479)) : (x<50 ? 0.859386:0.862045)) : (x<80 ? (x<70 ? 0.858721:0.856027) : (x<100 ? 0.849931:0.842925))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.852114:0.850642) : (0.83497)) : (x<320 ? 0.825183:0.791952)) : (x<670 ? (x<500 ? 0.76913:0.768604) : (x<800 ? 0.826322:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.828351) : (0.840867)) : (x<50 ? 0.791645:0.797327)) : (x<80 ? (x<70 ? 0.797363:0.795461) : (x<100 ? 0.788353:0.753789))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.818597:0.766821) : (0.788413)) : (x<320 ? 0.78292:0.936994)) : (x<670 ? (x<500 ? 0.853416:0.724342) : (x<800 ? 1.19218:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.965901) : (1.04167)) : (x<50 ? 1.10949:1.19846)) : (x<80 ? (x<70 ? 1.23316:1.2228) : (x<100 ? 1.2759:1.29478))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.59821:1.98753) : (1.66829)) : (x<320 ? 2.00203:1.97957)) : (x<670 ? (x<500 ? 1.36093:1.78248) : (x<800 ? 6.71152:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.924889) : (0.941177)) : (x<50 ? 0.949908:0.952848)) : (x<80 ? (x<70 ? 0.94918:0.946214) : (x<100 ? 0.939449:0.931736))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.941894:0.940385) : (0.923497)) : (x<320 ? 0.913609:0.878804)) : (x<670 ? (x<500 ? 0.858464:0.865691) : (x<800 ? 0.826322:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01405) : (1.02901)) : (x<50 ? 0.968706:0.975785)) : (x<80 ? (x<70 ? 0.976015:0.974019) : (x<100 ? 0.964787:0.923232))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.00262:0.941348) : (0.977029)) : (x<320 ? 0.989992:1.21679)) : (x<670 ? (x<500 ? 1.14596:1.06436) : (x<800 ? 1.19218:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.79973) : (1.94159)) : (x<50 ? 2.07181:2.24089)) : (x<80 ? (x<70 ? 2.30922:2.29374) : (x<100 ? 2.38572:2.43079))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 2.99588:3.75503) : (3.21238)) : (x<320 ? 3.95521:4.06642)) : (x<670 ? (x<500 ? 3.09419:4.96447) : (x<800 ? 6.71152:0)))" 
