DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.67707) : (1.79532)) : (x<50 ? 1.82467:1.80412)) : (x<100 ? (x<80 ? (x<70 ? 1.8213:1.78657) : (1.87704)) : (x<120 ? 1.87836:2.09875))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.35109:2.5803) : (2.86116)) : (x<400 ? 3.44462:4.43942)) : (x<800 ? (x<670 ? 4.80827:6.7723) : (x<1000 ? 4.79209:0)))"
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.947918) : (0.95185)) : (x<50 ? 0.954425:0.955687)) : (x<100 ? (x<80 ? (x<70 ? 0.955606:0.953609) : (0.953212)) : (x<120 ? 0.949685:0.951898))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.954605:0.947902) : (0.956096)) : (x<400 ? 0.957054:0.970163)) : (x<800 ? (x<670 ? 0.977016:0.920419) : (x<1000 ? 0.91424:0)))"
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.984579) : (0.99639)) : (x<50 ? 0.999764:1.01472)) : (x<100 ? (x<80 ? (x<70 ? 1.0168:1.0083) : (1.01697)) : (x<120 ? 1.01003:1.02623))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.03821:1.03588) : (1.03416)) : (x<400 ? 1.12674:1.1307)) : (x<800 ? (x<670 ? 1.19963:1.11917) : (x<1000 ? 0.826985:0)))"
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.66805) : (1.7831)) : (x<50 ? 1.80866:1.78444)) : (x<100 ? (x<80 ? (x<70 ? 1.79766:1.75947) : (1.85255)) : (x<120 ? 1.84645:2.06324))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.29432:2.48274) : (2.71422)) : (x<400 ? 3.21384:4.05015)) : (x<800 ? (x<670 ? 4.27465:4.88523) : (x<1000 ? 3.18612:0)))"
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.951659) : (0.955204)) : (x<50 ? 0.957659:0.958964)) : (x<100 ? (x<80 ? (x<70 ? 0.959047:0.957299) : (0.956199)) : (x<120 ? 0.95338:0.955603))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.960273:0.957771) : (0.971385)) : (x<400 ? 0.979799:1.00552)) : (x<800 ? (x<670 ? 1.02559:1.01399) : (x<1000 ? 1.0428:0)))"
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994346) : (1.00673)) : (x<50 ? 1.01099:1.02732)) : (x<100 ? (x<80 ? (x<70 ? 1.03094:1.02398) : (1.03017)) : (x<120 ? 1.02658:1.04296))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.0632:1.0795) : (1.10003)) : (x<400 ? 1.22547:1.25282)) : (x<800 ? (x<670 ? 1.38461:1.68881) : (x<1000 ? 1.63275:0)))"
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.68609) : (1.80755)) : (x<50 ? 1.84067:1.8238)) : (x<100 ? (x<80 ? (x<70 ? 1.84493:1.81367) : (1.90153)) : (x<120 ? 1.91026:2.13426))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.40786:2.67785) : (3.0081)) : (x<400 ? 3.6754:4.8287)) : (x<800 ? (x<670 ? 5.34188:8.65937) : (x<1000 ? 6.39805:0)))"
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.897216) : (0.908764)) : (x<50 ? 0.90989:0.912645)) : (x<100 ? (x<80 ? (x<70 ? 0.910875:0.908491) : (0.906767)) : (x<120 ? 0.90086:0.897487))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.897233:0.879989) : (0.884094)) : (x<400 ? 0.874294:0.89709)) : (x<800 ? (x<670 ? 0.884253:0.846058) : (x<1000 ? 0.83638:0)))"
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00117) : (1.01404)) : (x<50 ? 1.01765:1.03382)) : (x<100 ? (x<80 ? (x<70 ? 0.992756:1.00224) : (0.972243)) : (x<120 ? 0.993146:0.981926))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.997213:0.992739) : (1.0095)) : (x<400 ? 0.982893:1.15241)) : (x<800 ? (x<670 ? 1.04846:2.02728) : (x<1000 ? 1.76606:0)))"
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.39729) : (1.84331)) : (x<50 ? 1.9554:1.93745)) : (x<100 ? (x<80 ? (x<70 ? 1.99336:1.84196) : (2.00298)) : (x<120 ? 1.98133:1.96323))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.08452:2.42551) : (2.25081)) : (x<400 ? 2.38872:4.26488)) : (x<800 ? (x<670 ? 4.6056:4.82674) : (x<1000 ? 1.1378:0)))"
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.895189) : (0.906995)) : (x<50 ? 0.908209:0.910949)) : (x<100 ? (x<80 ? (x<70 ? 0.909102:0.906592) : (0.905232)) : (x<120 ? 0.898966:0.895592))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.894321:0.87491) : (0.87615)) : (x<400 ? 0.862402:0.878159)) : (x<800 ? (x<670 ? 0.858307:0.794976) : (x<1000 ? 0.766111:0)))"
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.990023) : (1.00233)) : (x<50 ? 1.005:1.01974)) : (x<100 ? (x<80 ? (x<70 ? 0.97761:0.985379) : (0.958687)) : (x<120 ? 0.975986:0.96513))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.972369:0.94903) : (0.941682)) : (x<400 ? 0.89488:1.02483)) : (x<800 ? (x<670 ? 0.882451:1.08686) : (x<1000 ? 0.143877:0)))"
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.37136) : (1.79885)) : (x<50 ? 1.89638:1.86638)) : (x<100 ? (x<80 ? (x<70 ? 1.9081:1.75247) : (1.92174)) : (x<120 ? 1.87905:1.86772))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.94288:2.17437) : (1.94452)) : (x<400 ? 1.97441:3.17552)) : (x<800 ? (x<670 ? 3.13831:1.49116) : (x<1000 ? 0.0869234:0)))"
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.899243) : (0.910533)) : (x<50 ? 0.911571:0.914341)) : (x<100 ? (x<80 ? (x<70 ? 0.912649:0.910389) : (0.908301)) : (x<120 ? 0.902754:0.899382))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.900145:0.885069) : (0.892037)) : (x<400 ? 0.886186:0.916021)) : (x<800 ? (x<670 ? 0.9102:0.89714) : (x<1000 ? 0.906648:0)))"
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01232) : (1.02575)) : (x<50 ? 1.03031:1.0479)) : (x<100 ? (x<80 ? (x<70 ? 1.0079:1.01911) : (0.985799)) : (x<120 ? 1.01031:0.998722))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02206:1.03645) : (1.07733)) : (x<400 ? 1.0709:1.27999)) : (x<800 ? (x<670 ? 1.21446:2.9677) : (x<1000 ? 3.38824:0)))"
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.42322) : (1.88776)) : (x<50 ? 2.01441:2.00852)) : (x<100 ? (x<80 ? (x<70 ? 2.07862:1.93144) : (2.08422)) : (x<120 ? 2.08361:2.05874))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.22616:2.67666) : (2.5571)) : (x<400 ? 2.80303:5.35423)) : (x<800 ? (x<670 ? 6.07289:8.16232) : (x<1000 ? 2.18867:0)))"
